match, timestamp, goldDif, creepDif, killDif, assistDif, dragonDif, winner
497, 1800677, -4553, 32, -5, -5, 0, 0
502, 1800687, 6503, -36, 5, 0, 2, 1
545, 1800647, 10054, 40, 15, 25, 2, 1
546, 1800563, 2384, -100, 4, -13, 3, 1
547, 1800677, 5556, 86, 6, 11, -3, 0
548, 1800460, -6652, 42, -7, -31, -2, 1
549, 1800618, -6342, -47, -8, -5, -1, 0
550, 1800762, 7519, 97, 3, 1, 3, 0
551, 1800676, -708, -11, -7, -27, -1, 0
552, 1800615, -5619, -68, -3, -11, 0, 1
553, 1800617, -3940, -11, 10, 36, -2, 0
554, 1800622, 3539, 47, 1, 5, 1, 1
555, 1800675, 386, -18, -3, -26, -1, 0
556, 1800634, -1049, 64, 0, -6, -2, 1
557, 1800471, 5409, 35, 11, 1, 0, 1
558, 1800645, 5122, 39, 7, 6, 0, 0
559, 1800868, -909, -3, -1, -21, -1, 1
560, 1800718, 1790, -29, 9, 11, -2, 0
561, 1800598, -10924, -93, -23, -27, -1, 0
562, 1800585, -1164, 119, -7, -12, 0, 1
563, 1800558, -1887, 20, 1, -8, 1, 1
564, 1800592, -1189, 13, -6, -3, -3, 1
565, 1800654, -12570, -55, -14, -3, -3, 0
566, 1800810, -2688, 106, -14, -19, -1, 1
567, 1800834, 15795, 101, 20, 28, 2, 1
568, 1800689, -1929, -21, -6, -8, 0, 0
569, 1800623, -1428, -103, -3, -5, 0, 0
570, 1800587, 1799, 125, -6, -14, -1, 1
571, 1800590, -3354, -126, -2, 1, -3, 0
572, 1800507, -9322, 17, -14, -34, -1, 0
573, 1800540, 3621, 93, 6, 9, 3, 1
574, 1800616, -10794, -19, -14, -39, 1, 0
575, 1800688, 10836, 50, 11, 25, 1, 1
576, 1800873, -3533, -71, -4, -3, 1, 0
577, 1800566, 10265, 63, 7, 5, 1, 1
578, 1800603, -763, 11, -2, 5, 0, 0
579, 1800617, -258, -44, 0, 31, -3, 1
580, 1800796, -12036, -70, -16, -6, 2, 0
581, 1800724, -1063, -30, -9, -7, 0, 1
582, 1800663, 8352, -77, 9, 5, 4, 1
583, 1800742, -6822, -41, -12, -11, -2, 0
584, 1800631, -13923, -166, -10, -10, -1, 0
585, 1800483, -5923, -92, -6, 4, -2, 0
586, 1800653, -7526, -6, -3, -10, 2, 0
587, 1800561, -10826, 71, -14, -20, -3, 0
588, 1800600, -214, -13, -5, 4, 0, 0
589, 1800650, -8986, -73, -7, -3, 0, 0
590, 1800585, -15686, -77, -19, -25, -2, 0
591, 1800637, -6157, 14, -6, 0, -3, 0
592, 1800712, 101, -10, 2, -4, 0, 0
593, 1800698, 12336, 77, 15, 15, 3, 1
594, 1800698, 7059, -192, 22, 50, 3, 1
595, 1800656, 7716, -9, 18, 22, 1, 1
596, 1800558, 14460, 41, 23, 44, 3, 1
597, 1800727, 13557, 49, 19, 12, 3, 1
599, 1800580, 2428, 56, 3, 12, -3, 0
600, 1800627, 8539, -55, 7, 7, 2, 1
601, 1800740, -7533, -57, -11, -23, -1, 0
602, 1800678, -16941, -105, -14, -33, -4, 0
603, 1800645, 10885, 14, 15, 15, 2, 1
604, 1800617, 13472, 117, 21, 25, 2, 1
605, 1800732, -1514, -42, 10, 3, -1, 0
606, 1800628, 14912, -12, 19, 19, 1, 1
607, 1800579, -16285, -14, -18, -39, -1, 0
608, 1800550, -1013, 75, -6, -17, 1, 0
609, 1800627, -18314, -86, -19, -31, -3, 0
610, 1800733, -4922, 4, -7, 6, 0, 0
611, 1800521, -2701, 34, -10, 0, -3, 0
612, 1800605, -6779, -64, -8, -36, -1, 0
613, 1800670, 12974, 51, 19, 35, -1, 1
614, 1800650, -8191, -50, -12, -17, 0, 0
615, 1800523, 5470, -35, 1, 24, -3, 1
616, 1800617, 6249, -69, 7, 19, 2, 1
619, 1800566, -8275, -83, -8, -5, -3, 0
621, 1800752, 9806, -45, 12, 9, 3, 1
624, 1800731, 3392, 7, 7, 7, 1, 1
627, 1800659, 15800, 102, 20, 28, 2, 1
634, 1800602, -13420, 56, -7, 3, -3, 0
638, 1800719, -12250, 50, -12, -8, -2, 0
645, 1800651, -7612, -100, -5, 5, 1, 0
657, 1800762, 13105, 71, 17, 3, 3, 1
710, 1800673, -1785, -86, 7, 14, 3, 1
711, 1800606, -2728, -58, -4, -14, -2, 0
712, 1800465, -249, 43, -5, -3, -1, 1
713, 1800523, 1359, -83, -2, -10, 0, 0
714, 1800651, 542, -19, 1, -4, 1, 1
715, 1800540, 3406, 82, 0, -4, 2, 1
716, 1800628, 514, 61, 8, -13, -3, 1
717, 1800805, -2781, 18, -11, -9, 0, 0
718, 1800662, -964, -86, -2, 0, 1, 1
719, 1800571, 1428, 32, 2, 18, 1, 0
720, 1800621, -391, 160, -5, 1, -1, 0
721, 1800574, -6152, 5, -12, -26, -2, 0
722, 1800669, 723, 84, -12, -24, 1, 1
723, 1800657, -13732, -144, -15, -15, -2, 0
724, 1800786, 9881, -96, 24, 4, 1, 0
725, 1800589, -4940, -62, -6, -14, 1, 0
726, 1800726, 8475, 22, 6, 19, 0, 0
727, 1800542, -3556, 1, 0, 4, 1, 0
728, 1800727, 2888, 56, 9, -12, 3, 1
729, 1800657, 2914, 45, 0, 0, 1, 1
730, 1800524, 4305, 107, -2, -24, -1, 0
731, 1800692, -4737, -68, -6, -2, -1, 0
732, 1800688, -3183, 27, -8, -23, -1, 1
733, 1800552, -248, -48, -5, 2, 1, 1
734, 1800692, 4507, 109, 6, 6, 0, 1
735, 1800723, 792, 21, -2, -13, 3, 0
736, 1800724, 6274, -10, 14, 31, 0, 0
737, 1800774, 4063, -8, 3, -1, 1, 1
738, 1800573, -8689, 94, -23, -20, 0, 0
739, 1800690, -9751, -52, -21, -25, -2, 0
740, 1800565, 473, 35, -6, 9, -2, 0
741, 1800579, 4285, 47, 13, 6, 1, 1
742, 1800692, -4818, -32, -9, -12, 0, 0
743, 1800779, 3275, -23, -5, -7, 3, 1
744, 1800760, 7709, 117, 8, -5, 0, 1
745, 1800544, 7323, 40, 5, 5, -1, 1
746, 1800518, 5077, 138, -2, -19, 1, 1
747, 1800680, 10187, -96, 18, 32, 1, 1
748, 1800795, 5007, -2, 5, -3, 3, 1
749, 1800755, -6845, -42, -5, -16, -3, 0
750, 1800465, 9763, 162, 11, 11, 1, 1
751, 1800611, -5761, 35, -1, -20, -2, 0
752, 1800616, 2686, 23, 11, -3, -1, 1
753, 1800684, -5771, -52, -6, -2, -2, 0
754, 1800712, -5425, -26, -5, -18, 0, 1
755, 1800549, -7813, -24, 5, 12, -3, 0
756, 1800558, -1537, 78, 1, 3, -1, 0
757, 1800632, -1398, 2, -4, -9, 1, 1
758, 1800639, -1488, -41, 2, 13, -3, 0
759, 1800569, -490, -161, 6, 18, -1, 1
760, 1800637, -3643, 1, -13, -39, -1, 0
761, 1800519, -1522, 78, -5, -29, 2, 1
762, 1800598, -2815, -15, 0, 4, -1, 1
763, 1800656, 4396, 10, -1, 20, 1, 1
764, 1800665, 2647, -47, 5, -8, 3, 1
765, 1800679, 3681, 82, -5, -14, 3, 1
766, 1800584, 3546, -5, 1, 9, -1, 1
767, 1800536, -706, 69, -5, -11, -3, 0
768, 1800646, -3722, 50, -13, -17, -1, 0
769, 1800645, -9339, -33, -14, -31, -2, 0
770, 1800679, 3288, 40, 1, -6, 3, 0
771, 1800631, 6374, -5, 6, 11, 1, 1
772, 1800548, -3876, 32, -7, -29, -4, 0
773, 1800622, 4922, -53, 12, 31, 3, 1
774, 1800613, 5570, 54, 11, -6, 0, 1
775, 1800628, 2180, 48, -7, -13, -1, 0
776, 1800664, 9215, 213, -1, -7, 1, 1
777, 1800736, -3710, -91, -5, -1, 0, 0
778, 1800572, 2323, 49, 5, 29, 1, 1
779, 1800500, -9352, -17, -14, -20, -1, 0
780, 1800485, -6428, 19, -3, -22, -3, 0
781, 1800707, 5800, -11, 10, 0, 0, 1
782, 1800629, 8831, -5, 18, 16, 2, 1
783, 1800437, 12595, -91, 14, 38, 3, 1
784, 1800697, 14605, 4, 23, 39, 3, 1
785, 1800823, -15251, -99, -23, -3, -3, 0
786, 1800725, -9140, -40, -9, 7, -1, 0
787, 1800552, 2934, 96, 1, -1, -1, 0
788, 1800701, -9738, -35, -11, -20, 0, 0
789, 1800566, -9859, -136, -10, 4, 0, 0
790, 1800705, -11654, -111, -16, -17, 2, 0
